uri:/instrument/1.0/AAPL/chartdata;type=quote;range=10d/csv
ticker:aapl
Company-Name:Apple Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:113.4000
range:20150910,1441891800,1441915200
range:20150911,1441978200,1442001600
range:20150914,1442237400,1442260800
range:20150915,1442323800,1442347200
range:20150916,1442410200,1442433600
range:20150917,1442496600,1442520000
range:20150918,1442583000,1442606400
range:20150921,1442842200,1442865600
range:20150922,1442928600,1442952000
range:20150923,1443015000,1443038400
Timestamp:1441891800,1443038400
labels:1441891800,1441978200,1442237400,1442323800,1442410200,1442496600,1442583000,1442842200,1442928600,1443015000
values:Timestamp,close,high,low,open,volume
close:110.2200,116.4700
high:110.7000,116.8900
low:109.9000,116.4100
open:110.0700,116.5800
volume:0,16754000
1442254740,115.4200,115.5250,115.3400,115.4160,357400
1442255040,115.4492,115.6300,115.4200,115.4200,333000
1442255398,115.3800,115.5300,115.3400,115.4650,354400
1442255640,115.4100,115.4800,115.3300,115.3800,284400
1442255940,115.5000,115.5200,115.4100,115.4150,271300
1442256299,115.6199,115.7300,115.5050,115.5056,493000
1442256541,115.6310,115.8100,115.6000,115.6099,452500
1442256840,115.6281,115.7000,115.5500,115.6400,420600
1442257198,115.4450,115.6300,115.4150,115.6200,519500
1442257499,115.1900,115.4500,115.1600,115.4450,713900
1442257740,115.3700,115.3750,115.0600,115.1950,689800
1442258041,115.6000,115.6000,115.2900,115.3699,522900
1442258340,115.5000,115.7400,115.4500,115.5970,619900
1442258641,115.4350,115.5800,115.4000,115.4800,430600
1442258940,115.4001,115.4600,115.3300,115.4400,450200
1442259241,115.3250,115.5100,115.3200,115.4284,487700
1442259599,115.2150,115.3500,115.1700,115.3200,853700
1442259899,115.2850,115.3900,115.1900,115.2201,610000
1442260140,115.2110,115.4450,115.2100,115.2800,650200
1442260440,115.2200,115.3200,115.2000,115.2200,739100
1442260740,115.3379,115.4000,115.2000,115.2200,3565300
1442260800,115.3100,115.3100,115.3100,115.3100,0
1442324099,115.1501,115.7900,115.0100,115.7800,0
1442324399,115.0081,115.2100,114.7500,115.1690,1418800
1442324699,115.0300,115.1300,114.8700,115.0100,708800
1442324940,114.7400,115.0580,114.4200,115.0400,1435000
1442325299,115.0000,115.0700,114.7304,114.7304,878100
1442325599,114.8800,115.1300,114.8675,114.9900,731800
1442325841,115.2300,115.2400,114.9000,114.9000,773500
1442326199,115.1800,115.3799,115.1500,115.2300,751300
1442326499,115.2600,115.2700,115.1000,115.1900,623900
1442326799,115.5490,115.6000,115.2700,115.2700,794300
1442327099,115.6900,115.8000,115.5300,115.5600,752200
1442327398,115.6000,115.7000,115.5500,115.6900,535300
1442327640,115.6500,115.8300,115.5900,115.6000,754600
1442327941,115.7250,115.7700,115.5700,115.6600,585400
1442328240,115.8800,115.9200,115.7100,115.7200,769000
1442328540,115.9100,116.0900,115.8700,115.8794,951500
1442328840,115.8500,115.9480,115.7200,115.9300,607900
1442329140,115.9500,115.9900,115.8370,115.8399,371900
1442329440,116.0000,116.0600,115.8600,115.9400,608200
1442329799,116.1100,116.1400,115.9800,116.0050,551100
1442330040,116.0200,116.1100,115.9900,116.1050,464000
1442330340,115.8300,116.0900,115.8210,116.0300,448800
1442330699,115.8490,115.9000,115.8000,115.8500,282100
1442330940,115.9350,115.9600,115.8300,115.8500,244200
1442331299,115.6300,115.9700,115.6200,115.9300,476200
1442331598,115.6700,115.7602,115.6300,115.6300,288000
1442331899,115.7200,115.7600,115.6600,115.6800,228500
1442332199,115.8100,115.8500,115.7100,115.7100,253900
1442332497,115.8900,115.9400,115.8000,115.8100,307400
1442332740,115.7450,115.8901,115.7300,115.8800,215400
1442333040,115.7300,115.7600,115.6400,115.7400,258400
1442333344,115.7400,115.7528,115.6400,115.7243,171900
1442333640,115.6963,115.7400,115.6500,115.7300,320100
1442333940,115.8100,115.8700,115.7000,115.7000,396000
1442334240,115.8300,115.9600,115.7800,115.8100,356700
1442334540,115.9701,115.9701,115.7700,115.8300,278000
1442334840,116.0150,116.0600,115.9400,115.9600,504400
1442335199,116.0000,116.0500,115.9700,116.0200,287500
1442335440,116.0100,116.0450,115.9700,116.0000,305600
1442335799,116.0640,116.0800,115.9800,116.0100,302500
1442336040,116.0300,116.2300,116.0200,116.0600,726100
1442336340,115.9500,116.0600,115.8700,116.0400,382500
1442336641,115.9790,115.9925,115.9100,115.9411,220600
